cell_id,q_combo,q_case,q_run,q_recall,q_precision,q_f1,q_hits,q_gold_size,q_submitted,q_false_positives,q_trap_inclusion_count,q_hallucination_raw_count,q_m3w_kotlin_recall,q_m3w_rust_recall,q_m2_test_tail_hits,q_m2_test_tail_total,q_tool_calls_count,q_adjudication_count,m_cell_id,m_transcript_path,m_model,m_model_ok,m_advisor_present,m_output_tokens,m_cache_read_tokens,m_cache_creation_tokens,m_cache_creation_5m_tokens,m_cache_creation_1h_tokens,m_tool_calls,m_wall_clock_sec,m_wall_clock_trustworthy,m_isolation_violation,m_isolation_detail,m_requestid_missing,use_zoekt,use_sg,use_serena,use_rg,use_read,use_bash,use_glob,use_grep,use_find,use_zoekt_index,use_evals_ref,use_opus_gen,use_advisor_tu,use_forbidden_path,required_tool_ok,required_tool_note
C1xM3-Wxr2,C1,M3-W,r2,1.0,0.5333333333333333,0.6956521739130436,8,8,15,7,2,5,1.0,1.0,0,0,9,0,C1xM3-Wxr2,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-a918f32b648c0362a.jsonl,claude-sonnet-4-6,True,True,2734,152199,26385,26385,0,10,59.31,True,False,,False,3,0,2,0,3,3,0,0,0,0,0,0,0,0,True,
C1xM3-Wxr3,C1,M3-W,r3,1.0,0.5333333333333333,0.6956521739130436,8,8,15,7,2,5,1.0,1.0,0,0,8,0,C1xM3-Wxr3,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-a314878a4e5bb1fe9.jsonl,claude-sonnet-4-6,True,True,1082,195782,27356,27356,0,10,60.62,True,False,,False,4,0,2,0,3,3,0,0,0,0,0,0,0,0,True,
C2xM1xr1,C2,M1,r1,1.0,1.0,1.0,33,33,33,0,0,0,,,0,0,8,0,C2xM1xr1,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-a66224d50a1141494.jsonl,claude-sonnet-4-6,True,True,1749,221227,21979,21979,0,12,87.88,True,False,,False,1,0,3,0,6,1,0,1,0,0,0,0,0,0,True,
C2xM1xr2,C2,M1,r2,1.0,1.0,1.0,33,33,33,0,0,0,,,0,0,7,0,C2xM1xr2,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-ae3de19df98bd9483.jsonl,claude-sonnet-4-6,True,True,4259,151944,13623,13623,0,12,79.78,True,False,,False,1,0,3,0,6,1,0,1,0,0,0,0,0,0,True,
C2xM1xr3,C2,M1,r3,1.0,1.0,1.0,33,33,33,0,0,0,,,0,0,9,18,C2xM1xr3,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-a9cced29a1ef31733.jsonl,claude-sonnet-4-6,True,True,3896,199450,14005,14005,0,14,94.90,True,False,,False,1,0,2,0,9,1,0,1,0,0,0,0,0,0,True,
C2xM2xr1,C2,M2,r1,0.875,1.0,0.9333333333333333,7,8,7,0,0,0,,,0,3,18,0,C2xM2xr1,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-aa050d92a07d011ce.jsonl,claude-sonnet-4-6,True,True,3723,512479,18541,18541,0,21,120.05,True,False,,False,3,0,11,0,5,3,0,3,0,0,0,0,0,0,True,
C2xM2xr2,C2,M2,r2,0.875,1.0,0.9333333333333333,7,8,7,0,0,0,,,0,3,17,0,C2xM2xr2,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-a5a0b960e6d4b43d3.jsonl,claude-sonnet-4-6,True,True,5129,596881,18594,18594,0,24,137.37,True,False,,False,3,0,14,0,5,3,0,3,0,0,0,0,0,0,True,
C2xM2xr3,C2,M2,r3,0.625,1.0,0.7692307692307693,5,8,5,0,0,0,,,0,3,12,0,C2xM2xr3,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-a08a74fc9ea002084.jsonl,claude-sonnet-4-6,True,True,6331,779889,29564,29564,0,35,174.75,True,False,,False,3,0,23,0,1,8,0,8,0,0,0,0,0,0,True,
C2xM3-Lxr1,C2,M3-L,r1,1.0,1.0,1.0,29,29,29,0,0,0,,,0,0,6,0,C2xM3-Lxr1,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-aad20c82ec8b8295e.jsonl,claude-sonnet-4-6,True,True,4463,225235,21646,21646,0,10,79.19,True,False,,False,4,0,3,0,1,4,0,6,0,0,0,0,0,0,True,
C2xM3-Lxr2,C2,M3-L,r2,1.0,1.0,1.0,29,29,29,0,0,0,,,0,0,6,0,C2xM3-Lxr2,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-a1501e0acd9c26887.jsonl,claude-sonnet-4-6,True,True,4251,146436,13248,13248,0,7,65.89,True,False,,False,1,0,3,0,1,1,0,1,0,0,0,0,0,0,True,
C2xM3-Lxr3,C2,M3-L,r3,1.0,1.0,1.0,29,29,29,0,0,0,,,0,0,5,0,C2xM3-Lxr3,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-ab054ac991bf6f538.jsonl,claude-sonnet-4-6,True,True,4540,193212,12661,12661,0,9,77.10,True,False,,False,3,0,3,0,0,3,0,3,0,0,0,0,0,0,True,
C2xM3-Wxr1,C2,M3-W,r1,1.0,0.5,0.6666666666666666,8,8,16,8,2,6,1.0,1.0,0,0,10,0,C2xM3-Wxr1,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-a8e0b5939a858f2f1.jsonl,claude-sonnet-4-6,True,True,1277,216491,22481,22481,0,14,68.22,True,False,,False,5,0,3,0,4,5,0,0,0,0,0,0,0,0,True,
C2xM3-Wxr2,C2,M3-W,r2,1.0,0.5,0.6666666666666666,8,8,16,8,2,6,1.0,1.0,0,0,11,0,C2xM3-Wxr2,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-a79c41fd7a65c927e.jsonl,claude-sonnet-4-6,True,True,1667,276310,15007,15007,0,16,78.02,True,False,,False,5,0,3,0,5,5,0,1,0,0,0,0,0,0,True,
C2xM3-Wxr3,C2,M3-W,r3,1.0,0.5,0.6666666666666666,8,8,16,8,2,6,1.0,1.0,0,0,10,0,C2xM3-Wxr3,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-a32b5338cc5b4474e.jsonl,claude-sonnet-4-6,True,True,3465,245896,14757,14757,0,15,82.27,True,False,,False,5,0,3,0,4,5,0,1,0,0,0,0,0,0,True,
C3xM1xr1,C3,M1,r1,1.0,1.0,1.0,33,33,33,0,0,0,,,0,0,8,0,C3xM1xr1,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-a3e5349ca885d7425.jsonl,claude-sonnet-4-6,True,True,4616,164305,20769,20769,0,10,72.04,True,False,,False,1,2,1,0,4,3,0,0,0,0,0,0,0,0,True,
C3xM1xr2,C3,M1,r2,1.0,1.0,1.0,33,33,33,0,0,0,,,0,0,8,0,C3xM1xr2,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-aaf7eafc09e0b33c0.jsonl,claude-sonnet-4-6,True,True,4917,180227,13327,13327,0,11,76.82,True,False,,False,1,2,1,0,5,3,0,0,0,0,0,0,0,0,True,
C3xM1xr3,C3,M1,r3,1.0,1.0,1.0,33,33,33,0,0,0,,,0,0,7,0,C3xM1xr3,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-a5974940ab5ed73f4.jsonl,claude-sonnet-4-6,True,True,4880,182557,7834,7834,0,9,76.31,True,False,,False,1,4,1,0,1,5,0,0,0,0,0,0,0,0,True,
C3xM2xr1,C3,M2,r1,0.875,1.0,0.9333333333333333,7,8,7,0,0,0,,,0,3,17,0,C3xM2xr1,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-ad5bd3377cba60cac.jsonl,claude-sonnet-4-6,True,True,3821,423492,17235,17235,0,23,110.02,True,False,,False,7,3,5,0,6,10,0,5,0,0,0,0,0,0,True,
C3xM2xr2,C3,M2,r2,0.75,1.0,0.8571428571428571,6,8,6,0,0,0,,,0,3,15,0,C3xM2xr2,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-acdaf8d757f16b3a1.jsonl,claude-sonnet-4-6,True,True,4627,611606,27958,27958,0,25,132.78,True,False,,False,7,5,3,0,8,12,0,0,0,0,0,0,0,0,True,
C3xM2xr3,C3,M2,r3,1.0,1.0,1.0,8,8,8,0,0,0,,,0,3,17,0,C3xM2xr3,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-a5bab1eb14784bee7.jsonl,claude-sonnet-4-6,True,True,5242,703912,18411,18411,0,28,147.29,True,False,,False,6,4,5,0,10,10,0,0,0,0,0,0,0,0,True,
C3xM3-Lxr1,C3,M3-L,r1,1.0,1.0,1.0,29,29,29,0,0,0,,,0,0,8,0,C3xM3-Lxr1,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-aa261630362bf7f04.jsonl,claude-sonnet-4-6,True,True,817,117449,7862,7862,0,6,56.91,True,False,,False,1,1,1,0,1,2,0,0,0,0,0,0,0,0,True,
C3xM3-Lxr2,C3,M3-L,r2,1.0,1.0,1.0,29,29,29,0,0,0,,,0,0,5,0,C3xM3-Lxr2,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-acf97f6a5c7adb4e6.jsonl,claude-sonnet-4-6,True,True,423,94689,7039,7039,0,6,56.99,True,False,,False,2,1,1,0,0,3,0,0,0,0,0,0,0,0,True,
C3xM3-Lxr3,C3,M3-L,r3,0.9655172413793104,1.0,0.9824561403508771,28,29,28,0,0,0,,,0,0,5,0,C3xM3-Lxr3,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-a101552bebb4e3839.jsonl,claude-sonnet-4-6,True,True,4397,246103,27199,27199,0,10,80.41,True,False,,False,4,1,2,0,1,5,0,0,0,0,0,0,0,0,True,
C3xM3-Wxr1,C3,M3-W,r1,1.0,0.6666666666666666,0.8,8,8,12,4,0,4,1.0,1.0,0,0,9,0,C3xM3-Wxr1,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-a8b3bfdfab2588a01.jsonl,claude-sonnet-4-6,True,True,2572,164684,19412,19412,0,12,50.30,True,False,,False,4,2,2,0,2,6,0,0,0,0,0,0,0,0,True,
C3xM3-Wxr2,C3,M3-W,r2,1.0,1.0,1.0,8,8,8,0,0,0,1.0,1.0,0,0,13,0,C3xM3-Wxr2,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-a06009f89f86fe602.jsonl,claude-sonnet-4-6,True,True,3010,203805,12612,12612,0,13,62.27,True,False,,False,4,2,2,0,3,6,0,0,0,0,0,0,0,0,True,
C3xM3-Wxr3,C3,M3-W,r3,1.0,0.5333333333333333,0.6956521739130436,8,8,15,7,2,5,1.0,1.0,0,0,11,0,C3xM3-Wxr3,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-a6a3bb3ea17a853c1.jsonl,claude-sonnet-4-6,True,True,2997,374960,13505,13505,0,20,84.95,True,False,,False,4,8,1,3,3,14,0,0,0,0,0,0,0,0,True,
C4xM1xr1,C4,M1,r1,1.0,1.0,1.0,33,33,33,0,0,0,,,0,0,4,0,C4xM1xr1,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-a3920c4872eaed1ea.jsonl,claude-sonnet-4-6,True,True,3811,80300,12348,12348,0,5,56.35,True,False,,False,2,0,0,0,2,2,0,0,0,0,0,0,0,0,True,
C4xM1xr2,C4,M1,r2,1.0,1.0,1.0,33,33,33,0,0,0,,,0,0,9,0,C4xM1xr2,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-a8c36f2f95684af0c.jsonl,claude-sonnet-4-6,True,True,4424,187334,9166,9166,0,14,68.67,True,False,,False,1,0,0,0,12,1,0,0,0,0,0,0,0,0,True,
C4xM1xr3,C4,M1,r3,1.0,1.0,1.0,33,33,33,0,0,0,,,0,0,9,0,C4xM1xr3,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-a7b05a028011bc06a.jsonl,claude-sonnet-4-6,True,True,4092,117200,7444,7444,0,12,74.46,True,False,,False,1,0,0,0,10,1,0,0,0,0,0,0,0,0,True,
C4xM2xr1,C4,M2,r1,0.875,1.0,0.9333333333333333,7,8,7,0,0,0,,,0,3,11,0,C4xM2xr1,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-a44e55677b17a27b7.jsonl,claude-sonnet-4-6,True,True,3769,325747,12685,12685,0,16,93.77,True,False,,False,8,0,0,0,7,8,0,0,0,0,0,0,0,0,True,
C4xM2xr2,C4,M2,r2,0.75,1.0,0.8571428571428571,6,8,6,0,0,0,,,0,3,10,0,C4xM2xr2,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-a7495692ffae0172f.jsonl,claude-sonnet-4-6,True,True,3093,417319,22070,22070,0,19,107.34,True,False,,False,8,0,0,4,6,12,0,2,0,0,0,0,0,0,True,
C4xM2xr3,C4,M2,r3,0.875,1.0,0.9333333333333333,7,8,7,0,0,0,,,0,3,11,0,C4xM2xr3,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-a88b84e8c5fb8a88a.jsonl,claude-sonnet-4-6,True,True,5893,399293,13357,13357,0,18,116.41,True,False,,False,7,0,0,0,10,7,0,0,0,0,0,0,0,0,True,
C4xM3-Lxr1,C4,M3-L,r1,0.9655172413793104,1.0,0.9824561403508771,28,29,28,0,0,0,,,0,0,9,0,C4xM3-Lxr1,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-a97ea8c88ea385f4f.jsonl,claude-sonnet-4-6,True,True,3829,109022,5783,5783,0,6,58.84,True,False,,False,3,0,0,0,2,3,0,0,0,0,0,0,0,0,True,
C4xM3-Lxr2,C4,M3-L,r2,1.0,1.0,1.0,29,29,29,0,0,0,,,0,0,5,0,C4xM3-Lxr2,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-afaec4a816459e9e7.jsonl,claude-sonnet-4-6,True,True,5668,268408,22957,22957,0,20,83.40,True,False,,False,1,0,0,0,18,1,0,0,0,0,0,0,0,0,True,
C4xM3-Lxr3,C4,M3-L,r3,1.0,1.0,1.0,29,29,29,0,0,0,,,0,0,8,0,C4xM3-Lxr3,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-a5e377f4ba946f8f3.jsonl,claude-sonnet-4-6,True,True,6319,695844,27711,27711,0,24,129.03,True,False,,False,5,0,0,2,16,7,0,4,0,0,1,0,0,0,True,
C4xM3-Wxr1,C4,M3-W,r1,1.0,1.0,1.0,8,8,8,0,0,0,1.0,1.0,0,0,6,0,C4xM3-Wxr1,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-a916c62657c0874e0.jsonl,claude-sonnet-4-6,True,True,2441,69405,6002,6002,0,7,38.21,True,False,,False,4,0,0,0,2,4,0,0,0,0,0,0,0,0,True,
C4xM3-Wxr2,C4,M3-W,r2,1.0,0.6666666666666666,0.8,8,8,12,4,0,4,1.0,1.0,0,0,5,0,C4xM3-Wxr2,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-a2bdbb15c2db34c36.jsonl,claude-sonnet-4-6,True,True,973,137437,14490,14490,0,8,46.91,True,False,,False,5,0,0,0,2,5,0,1,0,0,0,0,0,0,True,
C4xM3-Wxr3,C4,M3-W,r3,1.0,0.6666666666666666,0.8,8,8,12,4,0,4,1.0,1.0,0,0,7,0,C4xM3-Wxr3,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-ada6d83025315a7ca.jsonl,claude-sonnet-4-6,True,True,2601,166102,7210,7210,0,9,55.65,True,False,,False,7,0,0,0,2,6,0,3,0,0,0,0,0,0,True,
C5xM1xr1,C5,M1,r1,0.7575757575757576,1.0,0.8620689655172413,25,33,25,0,0,0,,,0,0,7,0,C5xM1xr1,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/8f4178c2-40a2-48ad-bd4b-e280643abe4b/subagents/workflows/wf_3a30b864-737/agent-a82e8c1d4729b61ea.jsonl,claude-sonnet-4-6,True,True,4441,151318,28149,28149,0,10,68.12,True,False,,False,0,0,2,0,6,0,0,0,0,0,0,0,0,0,True,
C5xM1xr2,C5,M1,r2,0.7575757575757576,1.0,0.8620689655172413,25,33,25,0,0,0,,,0,0,4,25,C5xM1xr2,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/8f4178c2-40a2-48ad-bd4b-e280643abe4b/subagents/workflows/wf_3a30b864-737/agent-acb615195b08d2aa7.jsonl,claude-sonnet-4-6,True,True,3106,91522,4331,4331,0,5,41.30,True,False,,False,0,0,2,0,0,0,0,0,0,0,0,0,0,0,True,
C5xM1xr3,C5,M1,r3,0.7575757575757576,1.0,0.8620689655172413,25,33,25,0,0,0,,,0,0,7,21,C5xM1xr3,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/8f4178c2-40a2-48ad-bd4b-e280643abe4b/subagents/workflows/wf_3a30b864-737/agent-aec4a2ebffa581782.jsonl,claude-sonnet-4-6,True,True,3719,138316,5282,5282,0,9,51.51,True,False,,False,0,0,2,0,4,0,0,0,0,0,0,0,0,0,True,
